query_id,query,source_filter,mode,rank,result_key,doc_id,parent_id,source,title,content_preview,relevance_score,query_latency_ms
slack_01,What happened with the payment webhook transactions?,slack,bm25,1,bf751631739e38c8e400ee633c9983d0,bf751631739e38c8e400ee633c9983d0,slack:8538ff47fbba5e6165c898dfc8e6d2f6,slack,Slack #C0BTQE055QA,"Quick summary of today's incident: the payment webhook from our provider started sending malformed JSON around 2pm, which caused our parser to throw unhandled exceptions and silently drop ~120 transactions. We've patched the parser to validate schema before processing and are backfilling the dropped transactions from the provider's event log. Postm...",9.911773979092764,308.43
slack_01,What happened with the payment webhook transactions?,slack,bm25,2,ee5d861d8ea08bd53e719ba29ee9911c,ee5d861d8ea08bd53e719ba29ee9911c,slack:0e092c8b73c78a5d33b9398341d85fce,slack,Slack #C0BTQE055QA,The Kubernetes pod for the payments-service is stuck in CrashLoopBackOff on the staging cluster.,4.694473648660882,308.43
slack_01,What happened with the payment webhook transactions?,slack,bm25,3,24e1da7d834e8c734247a9768ea3c593,24e1da7d834e8c734247a9768ea3c593,slack:cfc647ebbe6794db1b78cdf2a608276d,slack,Slack #C0BTQE055QA,ust a heads up that some customer payments may not have gone through properly earlier today due to a data format issue on the provider's end. We're making sure everything gets reconciled.,3.358154888991737,308.43
slack_01,What happened with the payment webhook transactions?,slack,bm25,4,12baec03674b1dfa34a9ff66149e35ac,12baec03674b1dfa34a9ff66149e35ac,slack:410ee8484c4b8b42461028490ae93f01,slack,Slack #C0BT92PAGLX,The two backend engineer reqs and the designer req are live on the careers page now — please share with your networks.,2.757970448159486,308.43
slack_01,What happened with the payment webhook transactions?,slack,bm25,5,4186c9ee2488818e5380d2d8fb2d8077,4186c9ee2488818e5380d2d8fb2d8077,slack:32fb769577879435239a7f623c58dba2,slack,Slack #C0BTQE055QA,Getting a 401 Unauthorized error when calling the /api/v2/users endpoint with a valid JWT token.,2.660885402379067,308.43
slack_01,What happened with the payment webhook transactions?,slack,semantic,1,bf751631739e38c8e400ee633c9983d0,bf751631739e38c8e400ee633c9983d0,slack:8538ff47fbba5e6165c898dfc8e6d2f6,slack,Slack #C0BTQE055QA,"Quick summary of today's incident: the payment webhook from our provider started sending malformed JSON around 2pm, which caused our parser to throw unhandled exceptions and silently drop ~120 transactions. We've patched the parser to validate schema before processing and are backfilling the dropped transactions from the provider's event log. Postm...",0.6121636628265003,135.3
slack_01,What happened with the payment webhook transactions?,slack,semantic,2,24e1da7d834e8c734247a9768ea3c593,24e1da7d834e8c734247a9768ea3c593,slack:cfc647ebbe6794db1b78cdf2a608276d,slack,Slack #C0BTQE055QA,ust a heads up that some customer payments may not have gone through properly earlier today due to a data format issue on the provider's end. We're making sure everything gets reconciled.,0.5399247429892865,135.3
slack_01,What happened with the payment webhook transactions?,slack,semantic,3,ee5d861d8ea08bd53e719ba29ee9911c,ee5d861d8ea08bd53e719ba29ee9911c,slack:0e092c8b73c78a5d33b9398341d85fce,slack,Slack #C0BTQE055QA,The Kubernetes pod for the payments-service is stuck in CrashLoopBackOff on the staging cluster.,0.5273530729781712,135.3
slack_01,What happened with the payment webhook transactions?,slack,semantic,4,a57362a3eb870334a859010299b8b618,a57362a3eb870334a859010299b8b618,slack:5a3da66784c47034795d33181a39f781,slack,Slack #C0BTQE055QA,"Our AWS bill jumped 40% this month, mostly from unused EC2 instances in the dev account",0.518292577474332,135.3
slack_01,What happened with the payment webhook transactions?,slack,semantic,5,14600f87fa03198eac7a944ee4c972c2,14600f87fa03198eac7a944ee4c972c2,slack:3fe6bacb4050c5ffb645e34addfa23ca,slack,Slack #C0BT92PAGLX,"The security audit findings came back — two medium-severity issues in the auth service, tickets are filed.",0.5169167886258093,135.3
